------------------------------------------------------------

[10:00:23:000]	recv [D1] (8) C011021509342200
[11:20:44:086]	send [EA] (74) 000000FFFF1102150B142D010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:44:960]	recv [EA] (19) 1102150B142D010A0000000333001400000000
[11:20:45:365]	send [EA] (74) 000000FFFF1102150B142E010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:46:208]	recv [EA] (19) 1102150B142E010A0000000333001400000000
[11:20:46:629]	send [EA] (74) 000000FFFF1102150B1430010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:47:471]	recv [EA] (19) 1102150B1430010A0000000333001400000000
[11:20:47:892]	send [EA] (74) 000000FFFF1102150B1431010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:48:750]	recv [EA] (19) 1102150B1431010A0000000333001400000000
[11:20:49:156]	send [EA] (74) 000000FFFF1102150B1432010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:50:014]	recv [EA] (19) 1102150B1432010A0000000333001400000000
[11:20:50:420]	send [EA] (74) 000000FFFF1102150B1434010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:51:278]	recv [EA] (19) 1102150B1434010A0000000333001400000000
[11:20:51:715]	send [EA] (74) 000000FFFF1102150B1435010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:52:588]	recv [EA] (19) 1102150B1435010A0000000333001400000000
[11:20:52:994]	send [EA] (74) 000000FFFF1102150B1436010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:53:867]	recv [EA] (19) 1102150B1436010A0000000333001400000000
[11:20:54:257]	send [EA] (74) 000000FFFF1102150B1437010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:55:115]	recv [EA] (19) 1102150B1437010A0000000333001400000000
[11:20:55:537]	send [EA] (74) 000000FFFF1102150B1439010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:56:395]	recv [EA] (19) 1102150B1439010A0000000333001400000000
[11:20:56:816]	send [EA] (74) 000000FFFF1102150B143A010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:57:674]	recv [EA] (19) 1102150B143A010A0000000333001400000000
[11:20:58:079]	send [EA] (74) 000000FFFF1102150B143B010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:20:58:906]	recv [EA] (19) 1102150B143B010A0000000333001400000000
[11:20:59:327]	send [EA] (74) 000000FFFF1102150B1500010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:21:00:154]	recv [EA] (19) 1102150B1500010A0000000333001400000000
[11:21:00:575]	send [EA] (74) 000000FFFF1102150B1502010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:21:01:418]	recv [EA] (19) 1102150B1502010A0000000333001400000000
[11:21:01:823]	send [EA] (74) 000000FFFF1102150B1503010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:21:02:666]	recv [EA] (19) 1102150B1503010A0000000333001400000000
[11:21:03:071]	send [EA] (74) 000000FFFF1102150B1504010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:21:03:929]	recv [EA] (19) 1102150B1504010A0000000333001400000000
[11:21:04:335]	send [EA] (74) 000000FFFF1102150B1505010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:21:05:209]	recv [EA] (19) 1102150B1505010A0000000333001400000000
[11:21:05:630]	send [EA] (74) 000000FFFF1102150B1507010A0000003933000000009998999999991234000000019000000190909098040000012017022111203900000064000013EC4D3B6A0B011484131779109379
[11:21:06:488]	recv [EA] (19) 1102150B1507010A0000000333001400000000
[11:21:06:909]	recv [D1] (8) C01102150B1E1100
[11:30:16:563]	send [EA] (59) 000000FFFF1102150B1E12010A0000002A949999999917020609000016022914000000000000999800000000000000635863580012345678912345
[11:30:17:405]	recv [EA] (28) 1102150B1E12010A0000000C84999999992017022111302000000000
[11:30:17:983]	send [EA] (32) 000000FFFF1102150B1E14010A0000000F000000000099989999999912340000
[11:30:18:653]	recv [EA] (34) 1102150B1E14010A0000001200000007E102150B1900000000000000077800000000
[11:30:19:543]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:30:20:385]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:30:20:713]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[11:30:21:087]	CPUCard cmd: (5)805C000204 -> [9000](6)000013EC9000
[11:30:21:259]	send [EA] (110) 000000FFFF1102150B1E17010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111194953544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:30:22:085]	recv [EA] (29) 1102150B1E17010A0000000D3000000000000099989999999900000000
[11:30:22:663]	CPUCard cmd: (5)0084000004 -> [9000](6)B963CEA99000
[11:30:23:209]	send [EA] (54) 000000FFFF1102150B1E19010A00000025320000000099989999999912340000000190000001909090980400018820200221B963CEA9
[11:30:23:599]	recv [EA] (53) 1102150B1E19010A000000253200000000000099989999999900019000000190909098000420200221B963CEA968B8CEFB00000000
[11:30:24:238]	CPUCard cmd: (13)04D69518082020022168B8CEFB -> [9000](2)9000
[11:30:24:472]	send [EA] (57) 000000FFFF1102150B1E1A010A000000283300000000999899999999123400000001000000000000077890000001909090982F7AF871040001
[11:30:25:237]	send [EA] (110) 000000FFFF1102150B1E1B010A0000005D3000000000999899999999123400000000000149F004999999990000011702211119574E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:30:26:063]	recv [EA] (19) 1102150B1E1A010A0000000333001400000000
[11:30:26:407]	recv [EA] (29) 1102150B1E1B010A0000000D3000000000000099989999999900000000
[11:30:26:641]	send [EA] (110) 000000FFFF1102150B1E1E010A0000005D3000000000999899999999123400000000000149F004999999990000011702211119574E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:30:29:667]	recv [EA] (29) 1102150B1E1E010A0000000D3000000000000099989999999900000000
[11:30:30:151]	send [EA] (110) 000000FFFF1102150B1E22010A0000005D300000000099989999999912340000000000014902010200000F90000001909090982F7AF871040012340000201701111849390001000000000000000000000064000013884D3B6A0B0001000000009998000000001484131779109379
[11:30:32:912]	recv [EA] (29) 1102150B1E22010A0000000D3000000000000099989999999900000000
[11:30:33:411]	send [EA] (110) 000000FFFF1102150B1E25010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111284353544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:30:36:188]	recv [EA] (29) 1102150B1E25010A0000000D3000000000000099989999999900000000
[11:30:36:687]	send [EA] (110) 000000FFFF1102150B1E28010A0000005D3000000000999899999999123400000000000149F004999999990000011702211128514E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:30:39:511]	recv [EA] (29) 1102150B1E28010A0000000D3000000000000099989999999900000000
[11:30:40:010]	recv [EA] (447) 1102100B1810010A000001AF95FFFFFFFF20170216112206261001411702150332910000000025040000000000002505000000000000250600000000000025070000000000002508000000000000250900000000000025100000000000002511000000000000251200000000000025130000000000002514000000000000251500000000000025160000000000002517000000000000251800000000000025190000000000002520000000000000252100000000000025220000000000002523000000000000252400000000000025250000000000002526000000000000252700000000000025280000000000002529000000000000253000000000000025310000000000002532000000000000253300000000000025340000000000002535000000000000253600000000000025370000000000002538000000000000253900000000000025400000000000002541000000000000254200000000000025430000000000002544000000000000254500000000000025460000000000002547000000000000254800000000000025490000000000002550000000000000255100000000000025520000000000002553000000000000255400000000000000
[11:30:47:358]	------------------------------------------------------------

[11:31:54:000]	recv [D1] (8) C01102150B202900
[11:32:40:208]	send [EA] (59) 000000FFFF1102150B202A010A0000002A949999999917020609000016022914000000000000999800000000000000635863580012345678912345
[11:32:41:050]	recv [EA] (28) 1102150B202A010A0000000C84999999992017022111324300000000
[11:32:41:549]	send [EA] (32) 000000FFFF1102150B202B010A0000000F000000000099989999999912340000
[11:32:42:220]	recv [EA] (34) 1102150B202B010A0000001200000007E102150B1B17000000000000077800000000
[11:32:42:719]	send [EA] (110) 000000FFFF1102150B202C010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111194953544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:32:43:889]	recv [EA] (29) 1102150B202C010A0000000D3000000000000099989999999900000000
[11:32:44:388]	send [EA] (110) 000000FFFF1102150B2030010A0000005D3000000000999899999999123400000000000149F004999999990000011702211119574E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:32:47:399]	recv [EA] (29) 1102150B2030010A0000000D3000000000000099989999999900000000
[11:32:47:867]	send [EA] (110) 000000FFFF1102150B2033010A0000005D300000000099989999999912340000000000014902010200000F90000001909090982F7AF871040012340000201701111849390001000000000000000000000064000013884D3B6A0B0001000000009998000000001484131779109379
[11:32:50:878]	recv [EA] (29) 1102150B2033010A0000000D3000000000000099989999999900000000
[11:32:51:409]	send [EA] (110) 000000FFFF1102150B2037010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111284353544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:32:54:419]	recv [EA] (29) 1102150B2037010A0000000D3000000000000099989999999900000000
[11:32:54:887]	send [EA] (110) 000000FFFF1102150B203A010A0000005D3000000000999899999999123400000000000149F004999999990000011702211128514E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:32:57:867]	recv [EA] (29) 1102150B203A010A0000000D3000000000000099989999999900000000
[11:32:58:351]	send [EA] (110) 000000FFFF1102150B2102010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111322253544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:33:01:330]	recv [EA] (29) 1102150B2102010A0000000D3000000000000099989999999900000000
[11:33:01:829]	send [EA] (110) 000000FFFF1102150B2105010A0000005D3000000000999899999999123400000000000149F004999999990000011702211132394E45545253543A72657365745F636F756E743D322C6C6173745F6572726F723D2D3100000024DF0100F800E07F01000000010000001D00000038
[11:33:04:793]	recv [EA] (29) 1102150B2105010A0000000D3000000000000099989999999900000000
[11:33:05:308]	recv [D1] (8) A01102150B210900
[11:33:08:553]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:33:25:916]	CPUCard cmd: (5)00B0950000 -> [0001](0)
[11:33:26:353]	CPUCard cmd: (5)0084000004 -> [0001](0)
[11:33:27:398]	send [EA] (54) 000000FFFF1102150B211C010A0000002532000000009998999999991234000000010000000000000000000001000000000000000000
[11:33:27:772]	recv [EA] (19) 1102150B211C010A0000000332000100000000
[11:33:28:178]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:33:37:335]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:33:37:647]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[11:33:38:037]	CPUCard cmd: (5)805C000204 -> [9000](6)000013EC9000
[11:33:38:193]	recv [D1] (8) A01102150B212700
[11:33:38:661]	CPUCard cmd: (5)0084000004 -> [9000](6)158F959D9000
[11:33:39:207]	send [EA] (54) 000000FFFF1102150B2128010A00000025320000000099989999999912340000000290000001909090980400018820200221158F959D
[11:33:39:566]	recv [EA] (53) 1102150B2128010A000000253200000000000099989999999900029000000190909098000420200221158F959DBADA3D6C00000000
[11:33:40:190]	CPUCard cmd: (13)04D695180820200221BADA3D6C -> [9000](2)9000
[11:33:40:408]	send [EA] (57) 000000FFFF1102150B212A010A000000283300000000999899999999123400000002000000000000077890000001909090982F7AF871040001
[11:33:41:173]	recv [EA] (19) 1102150B212A010A0000000333001400000000
[11:33:41:578]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:33:51:095]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:33:51:422]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[11:33:51:797]	CPUCard cmd: (5)805C000204 -> [9000](6)000013EC9000
[11:33:51:953]	CPUCard cmd: (5)0084000004 -> [9000](6)100F0A879000
[11:33:52:686]	send [EA] (54) 000000FFFF1102150B2136010A00000025320000000099989999999912340000000390000001909090980400018820200221100F0A87
[11:33:53:076]	recv [EA] (53) 1102150B2136010A000000253200000000000099989999999900039000000190909098000420200221100F0A871CAA0F7F00000000
[11:33:53:700]	CPUCard cmd: (13)04D6951808202002211CAA0F7F -> [9000](2)9000
[11:33:53:918]	send [EA] (57) 000000FFFF1102150B2137010A000000283300000000999899999999123400000003000000000000077890000001909090982F7AF871040001
[11:33:54:698]	recv [EA] (19) 1102150B2137010A0000000333001400000000
[11:33:55:104]	recv [D1] (8) A01102150B220900
[11:34:08:754]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:34:12:014]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:34:12:342]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[11:34:12:732]	CPUCard cmd: (5)805C000204 -> [9000](6)000013EC9000
[11:34:12:888]	CPUCard cmd: (5)0084000004 -> [9000](6)9BC28F029000
[11:34:13:699]	send [EA] (54) 000000FFFF1102150B220F010A000000253200000000999899999999123400000004900000019090909804000188202002219BC28F02
[11:34:14:042]	recv [EA] (53) 1102150B220F010A0000002532000000000000999899999999000490000001909090980004202002219BC28F021CD2820700000000
[11:34:14:666]	CPUCard cmd: (13)04D6951808202002211CD28207 -> [9000](2)9000
[11:34:14:900]	send [EA] (57) 000000FFFF1102150B2210010A000000283300000000999899999999123400000004000000000000077890000001909090982F7AF871040001
[11:34:15:680]	recv [EA] (19) 1102150B2210010A0000000333001400000000
[11:34:16:101]	recv [D1] (8) A01102150B222800
[11:34:39:439]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:34:54:977]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:34:55:305]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[11:34:55:679]	CPUCard cmd: (5)805C000204 -> [9000](6)000013EC9000
[11:34:55:835]	CPUCard cmd: (5)0084000004 -> [9000](6)FF3DD1139000
[11:34:56:568]	send [EA] (54) 000000FFFF1102150B223A010A00000025320000000099989999999912340000000590000001909090980400018820200221FF3DD113
[11:34:56:927]	recv [EA] (53) 1102150B223A010A000000253200000000000099989999999900059000000190909098000420200221FF3DD113860CBEF000000000
[11:34:57:535]	CPUCard cmd: (13)04D695180820200221860CBEF0 -> [9000](2)9000
[11:34:57:754]	send [EA] (57) 000000FFFF1102150B223B010A000000283300000000999899999999123400000005000000000000077890000001909090982F7AF871040001
[11:34:58:534]	recv [EA] (64) 1102150B223B010A0000003033000000000000999899999999000590000001909090980000006400000064148413177910937920170111184939000100000000
[11:34:59:236]	CPUCard cmd: (7)00A40000023F01 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:34:59:704]	CPUCard cmd: (11)0020000006303030303030 -> [9000](2)9000
[11:34:59:891]	CPUCard cmd: (16)805000020B0100000064000000009998 -> [9000](18)000013EC000201000FF1E73C10E605039000
[11:35:00:203]	send [EA] (85) 000000FFFF1102150B2302010A000000443400000000999899999999123400000005000000000000077890000001909090982F7AF87104000002000200000064000013EC0FF1E73C10E60503881484131779109379
[11:35:01:139]	send [EA] (85) 000000FFFF1102150B2303010A000000443400000000999899999999123400000005000000000000077890000001909090982F7AF87104000002000200000064000013EC0FF1E73C10E60503881484131779109379
[11:35:02:278]	recv [EA] (58) 1102150B2302010A0000002A34000000000000999899999999000590000001909090980FF1E73C10E60503ADB6D6AD2017022111350300000000
[11:35:02:949]	recv [EA] (58) 1102150B2303010A0000002A34000000000000999899999999000590000001909090980FF1E73C10E60503190948E82017022111350400000000
[11:35:03:370]	CPUCard cmd: (16)805200000B20170221113503ADB6D6AD -> [9000](6)43154F9C9000
[11:35:04:041]	CPUCard cmd: (5)805C000204 -> [9000](6)000014509000
[11:35:04:212]	CPUCard cmd: (5)0084000004 -> [9000](6)21DC99859000
[11:35:04:368]	send [EA] (74) 000000FFFF1102150B2305010A00000039330000000099989999999912340000000590000001909090980400000220170221113503000000640000145043154F9C011484131779109379
[11:35:04:914]	recv [EA] (19) 1102150B2305010A0000000333001400000000
[11:35:05:320]	send [EA] (74) 000000FFFF1102150B2307010A00000039330000000099989999999912340000000590000001909090980400000220170221113503000000640000145043154F9C011484131779109379
[11:35:06:193]	send [EA] (110) 000000FFFF1102150B2307010A0000005D300000000099989999999912340000000000014902010200001490000001909090982F7AF871040012340000201701111849390002000000000000000000000064000013EC43154F9C0002000000009998000000001484131779109379
[11:35:07:005]	recv [EA] (19) 1102150B2307010A0000000333001400000000
[11:35:07:363]	recv [EA] (29) 1102150B2307010A0000000D3000000000000099989999999900000000
[11:35:07:566]	send [EA] (74) 000000FFFF1102150B2309010A00000039330000000099989999999912340000000590000001909090980400000220170221113503000000640000145043154F9C011484131779109379
[11:35:08:409]	recv [EA] (19) 1102150B2309010A0000000333001400000000
[11:35:08:830]	send [EA] (74) 000000FFFF1102150B230A010A00000039330000000099989999999912340000000590000001909090980400000220170221113503000000640000145043154F9C011484131779109379
[11:35:09:688]	recv [EA] (19) 1102150B230A010A0000000333001400000000
[11:35:10:203]	send [EA] (74) 000000FFFF1102150B230C010A00000039330000000099989999999912340000000590000001909090980400000220170221113503000000640000145043154F9C011484131779109379
[11:35:11:061]	recv [EA] (19) 1102150B230C010A0000000333001400000000
[11:35:11:497]	send [EA] (74) 000000FFFF1102150B230D010A00000039330000000099989999999912340000000590000001909090980400000220170221113503000000640000145043154F9C011484131779109379
[11:35:12:340]	recv [EA] (19) 1102150B230D010A0000000333001400000000
[11:35:12:761]	send [EA] (74) 000000FFFF1102150B230E010A00000039330000000099989999999912340000000590000001909090980400000220170221113503000000640000145043154F9C011484131779109379
[11:35:13:635]	recv [EA] (19) 1102150B230E010A0000000333001400000000
[11:35:14:040]	send [EA] (74) 000000FFFF1102150B230F010A00000039330000000099989999999912340000000590000001909090980400000220170221113503000000640000145043154F9C011484131779109379
[11:35:14:883]	recv [EA] (19) 1102150B230F010A0000000333001400000000
[11:35:15:288]	send [EA] (74) 000000FFFF1102150B2311010A00000039330000000099989999999912340000000590000001909090980400000220170221113503000000640000145043154F9C011484131779109379
[11:35:16:115]	recv [EA] (19) 1102150B2311010A0000000333001400000000
[11:35:16:521]	send [EA] (74) 000000FFFF1102150B2312010A00000039330000000099989999999912340000000590000001909090980400000220170221113503000000640000145043154F9C011484131779109379
[11:35:17:347]	recv [EA] (19) 1102150B2312010A0000000333001400000000
[11:35:17:753]	send [EA] (74) 000000FFFF1102150B2313010A00000039330000000099989999999912340000000590000001909090980400000220170221113503000000640000145043154F9C011484131779109379
[11:35:18:611]	recv [EA] (19) 1102150B2313010A0000000333001400000000
[11:35:19:017]	recv [D1] (8) C01102150B261600
[11:38:20:914]	send [EA] (59) 000000FFFF1102150B2616010A0000002A949999999917020609000016022914000000000000999800000000000000635863580012345678912345
[11:38:21:756]	recv [EA] (28) 1102150B2616010A0000000C84999999992017022111382300000000
[11:38:22:240]	send [EA] (32) 000000FFFF1102150B2617010A0000000F000000000099989999999912340000
[11:38:22:879]	recv [EA] (34) 1102150B2617010A0000001200000007E102150B2103000000000000077800000000
[11:38:23:394]	send [EA] (110) 000000FFFF1102150B2618010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111194953544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:38:24:580]	recv [EA] (29) 1102150B2618010A0000000D3000000000000099989999999900000000
[11:38:25:063]	send [EA] (110) 000000FFFF1102150B261C010A0000005D3000000000999899999999123400000000000149F004999999990000011702211119574E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:38:28:043]	recv [EA] (29) 1102150B261C010A0000000D3000000000000099989999999900000000
[11:38:28:527]	send [EA] (110) 000000FFFF1102150B261F010A0000005D300000000099989999999912340000000000014902010200000F90000001909090982F7AF871040012340000201701111849390001000000000000000000000064000013884D3B6A0B0001000000009998000000001484131779109379
[11:38:31:506]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:38:32:505]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:38:32:817]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[11:38:33:191]	CPUCard cmd: (5)805C000204 -> [9000](6)000014509000
[11:38:33:363]	CPUCard cmd: (5)0084000004 -> [9000](6)7C653EC99000
[11:38:34:080]	send [EA] (54) 000000FFFF1102150B2622010A000000253200000000999899999999123400000001900000019090909804000188202002217C653EC9
[11:38:34:455]	send [EA] (110) 000000FFFF1102150B2623010A0000005D300000000099989999999912340000000000014902010200000F90000001909090982F7AF871040012340000201701111849390001000000000000000000000064000013884D3B6A0B0001000000009998000000001484131779109379
[11:38:35:266]	recv [EA] (53) 1102150B2622010A0000002532000000000000999899999999000190000001909090980004202002217C653EC9B44703DE00000000
[11:38:35:828]	CPUCard cmd: (13)04D695180820200221B44703DE -> [9000](2)9000
[11:38:36:046]	recv [EA] (29) 1102150B261F010A0000000D3000000000000099989999999900000000
[11:38:36:327]	send [EA] (57) 000000FFFF1102150B2625010A000000283300000000999899999999123400000001000000000000077890000001909090982F7AF871040001
[11:38:37:107]	recv [EA] (64) 1102150B2625010A0000003033000000000000999899999999000190000001909090980000006400000064148413177910938220170111184939000400000000
[11:38:37:793]	CPUCard cmd: (7)00A40000023F01 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[11:38:38:261]	CPUCard cmd: (11)0020000006303030303030 -> [9000](2)9000
[11:38:38:464]	CPUCard cmd: (16)805000020B0100000064000000009998 -> [9000](18)0000145000030100C15E2B9C05A082B89000
[11:38:38:776]	send [EA] (85) 000000FFFF1102150B2627010A000000443400000000999899999999123400000001000000000000077890000001909090982F7AF8710400000300030000006400001450C15E2B9C05A082B8881484131779109382
[11:38:39:728]	send [EA] (110) 000000FFFF1102150B2628010A0000005D300000000099989999999912340000000000014902010200000F90000001909090982F7AF871040012340000201701111849390001000000000000000000000064000013884D3B6A0B0001000000009998000000001484131779109379
[11:38:40:539]	recv [EA] (58) 1102150B2627010A0000002A3400000000000099989999999900019000000190909098C15E2B9C05A082B835DC31262017022111384200000000
[11:38:41:132]	recv [EA] (29) 1102150B2628010A0000000D3000000000000099989999999900000000
[11:38:41:350]	CPUCard cmd: (16)805200000B2017022111384235DC3126 -> [9000](6)EFFD0A1E9000
[11:38:42:068]	CPUCard cmd: (5)805C000204 -> [9000](6)000014B49000
[11:38:42:224]	CPUCard cmd: (5)0084000004 -> [9000](6)B59F1B809000
[11:38:42:395]	send [EA] (74) 000000FFFF1102150B262B010A0000003935000000009998999999991234000000019000000190909098040000032017022111384200000064000014B4EFFD0A1E011484131779109382
[11:38:42:957]	send [EA] (110) 000000FFFF1102150B262B010A0000005D300000000099989999999912340000000000014902010200000F90000001909090982F7AF871040012340000201701111849390001000000000000000000000064000013884D3B6A0B0001000000009998000000001484131779109379
[11:38:43:752]	recv [EA] (40) 1102150B262B010A0000001835000001000000009998000199999999900000019090909800000000
[11:38:44:236]	recv [EA] (29) 1102150B262B010A0000000D3000000000000099989999999900000000
[11:38:44:470]	send [EA] (110) 000000FFFF1102150B262E010A0000005D300000000099989999999912340000000000014902010200000F90000001909090982F7AF871040012340000201701111849390001000000000000000000000064000013884D3B6A0B0001000000009998000000001484131779109379
[11:38:46:763]	recv [EA] (29) 1102150B262E010A0000000D3000000000000099989999999900000000
[11:38:47:247]	send [EA] (110) 000000FFFF1102150B2631010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111284353544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[11:38:49:914]	recv [EA] (29) 1102150B2631010A0000000D3000000000000099989999999900000000
[11:38:50:382]	send [EA] (110) 000000FFFF1102150B2635010A0000005D3000000000999899999999123400000000000149F004999999990000011702211128514E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[11:38:53:159]	recv [EA] (29) 1102150B2635010A0000000D3000000000000099989999999900000000
[11:38:53:643]	recv [D1] (8) C01102150B2C2500
[11:44:37:438]	send [EA] (59) 000000FFFF1102150B2C26010A0000002A949999999917020609000016022914000000000000999800000000000000635863580012345678912345
[11:44:38:280]	recv [EA] (28) 1102150B2C26010A0000000C84999999992017022111444000000000
[11:44:38:748]	send [EA] (32) 000000FFFF1102150B2C28010A0000000F000000000099989999999912340000
[11:44:39:388]	recv [EA] (34) 1102150B2C28010A0000001200000007E102150B2714000000000000077800000000
[11:44:39:871]	send [EA] (110) 000000FFFF1102150B2C29010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111194953544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C742833322900FFFFFFFFFFFFFFFFFFFFFFFFFFFF
[11:44:40:963]	recv [EA] (29) 1102150B2C29010A0000000D3000000000000099989999999900000000
